date,net,cash,holdings,cost_basis,starting_cash,margin,mtm,realized,pnls,liquid_value,commissions,charges,day_pnl,gross_leverage,net_leverage,gross_exposure,net_exposure,long_exposure,short_exposure,longs_count,shorts_count,algo_returns,algo_cum_returns,algo_volatility,drawdown,sharpe,strategy_vol,benchmark,benchmark_returns,alpha,beta
2022-02-16 00:00:00+05:30,10823.0200,1277.8200,9545.2000,9846.7200,10000.0000,0.0000,-301.5200,1124.5400,823.0200,10823.0200,0.0000,0.0000,-65.4500,0.8800,0.8800,9545.2000,9545.2000,9545.2000,0.0000,1,0,-0.0060,0.0823,0.2879,-0.0579,,,9805.9012,-0.0034,,
2022-02-17 00:00:00+05:30,10828.9700,1277.8200,9551.1500,9846.7200,10000.0000,0.0000,-295.5700,1124.5400,828.9700,10828.9700,0.0000,0.0000,5.9500,0.8800,0.8800,9551.1500,9551.1500,9551.1500,0.0000,1,0,0.0005,0.0829,0.2835,-0.0573,,,9798.5864,-0.0007,,
2022-02-18 00:00:00+05:30,10685.8200,1277.8200,9408.0000,9846.7200,10000.0000,0.0000,-438.7200,1124.5400,685.8200,10685.8200,0.0000,0.0000,-143.1500,0.8800,0.8800,9408.0000,9408.0000,9408.0000,0.0000,1,0,-0.0132,0.0686,0.2816,-0.0698,,,9792.1221,-0.0007,,
2022-02-21 00:00:00+05:30,10342.8200,1277.8200,9065.0000,9846.7200,10000.0000,0.0000,-781.7200,1124.5400,342.8200,10342.8200,0.0000,0.0000,-343.0000,0.8800,0.8800,9065.0000,9065.0000,9065.0000,0.0000,1,0,-0.0321,0.0343,0.2906,-0.0997,,,9756.3984,-0.0036,,
2022-02-22 00:00:00+05:30,10184.7900,19148.9900,-8964.2000,-8938.8500,10000.0000,0.0000,-25.3500,210.1400,184.7900,10184.7900,0.0000,0.0000,-158.0300,0.8800,-0.8800,8964.2000,-8964.2000,0.0000,8964.2000,0,1,-0.0153,0.0185,0.2894,-0.1134,,,9685.4330,-0.0073,,
2022-02-23 00:00:00+05:30,9992.9900,19148.9900,-9156.0000,-8938.8500,10000.0000,0.0000,-217.1500,210.1400,-7.0100,9992.9900,0.0000,0.0000,-191.8000,0.9200,-0.9200,9156.0000,-9156.0000,0.0000,9156.0000,0,1,-0.0188,-0.0007,0.2896,-0.1301,,,9670.7465,-0.0015,,
2022-02-24 00:00:00+05:30,10188.9900,19148.9900,-8960.0000,-8938.8500,10000.0000,0.0000,-21.1500,210.1400,188.9900,10188.9900,0.0000,0.0000,196.0000,0.8800,-0.8800,8960.0000,-8960.0000,0.0000,8960.0000,0,1,0.0196,0.0189,0.2902,-0.1130,,,9196.1600,-0.0491,,
2022-02-25 00:00:00+05:30,9957.9900,19148.9900,-9191.0000,-8938.8500,10000.0000,0.0000,-252.1500,210.1400,-42.0100,9957.9900,0.0000,0.0000,-231.0000,0.9200,-0.9200,9191.0000,-9191.0000,0.0000,9191.0000,0,1,-0.0227,-0.0042,0.2922,-0.1332,,,9451.9247,0.0278,,
2022-02-28 00:00:00+05:30,9479.0400,17761.1400,-8282.1000,-7661.8700,10000.0000,0.0000,-620.2300,99.2700,-520.9600,9479.0400,0.0000,0.0000,-478.9500,0.8700,-0.8700,8282.1000,-8282.1000,0.0000,8282.1000,0,1,-0.0481,-0.0521,0.3128,-0.1749,,,9520.3384,0.0072,,
2022-03-02 00:00:00+05:30,9385.1400,17761.1400,-8376.0000,-7661.8700,10000.0000,0.0000,-714.1300,99.2700,-614.8600,9385.1400,0.0000,0.0000,-93.9000,0.8900,-0.8900,8376.0000,-8376.0000,0.0000,8376.0000,0,1,-0.0099,-0.0615,0.3099,-0.1830,,,9427.5702,-0.0097,,
